img	caption	sentence
09618-ganymede.jpg	a dog that is jumping in the air	a dog that is jump in the air
34454-10rippl.jpg	a close up of a person wearing a jacket	a close up of a person wear a jacket
41536-dog_cat.jpg	a group of dogs laying on top of each other	a group of dogs lay on top of each other
34274-venus_ad.jpg	a group of people riding on the backs of horses	a group of people rid on the backs of horses
15597-11pala3.jpg	a man with a hat and a hat on	a man with a hat and a hat on
35185-portuga1.jpg	a large building with a painting on the wall	a large building with a painting on the wall
08285-virgin_c.jpg	a group of people sitting on a couch	a group of people sit on a couch
06611-tobias.jpg	a large group of people standing in front of a river	a large group of people stand in front of a river
35497-282mytho.jpg	a group of men standing next to each other	a group of men stand next to each other
00661-pieta.jpg	a group of people sitting on a beach	a group of people sit on a beach
26550-1chapel2.jpg	a large building with a lot of windows on it	a large building with a lot of windows on it
03611-72rebel2.jpg	a group of people standing next to a stone wall	a group of people stand next to a stone wall
25154-passion1.jpg	a painting of a man sitting on top of a bed	a painting of a man sit on top of a bed
10579-feathers.jpg	a statue of a woman wearing a costume	a statue of a woman wear a costume
42809-3baptist.jpg	a group of people standing next to each other	a group of people stand next to each other
37099-predell4.jpg	a group of people standing next to each other	a group of people stand next to each other
32138-husherd.jpg	a herd of cattle standing on top of a grass covered field	a herd of cattle stand on top of a grass covered field
40024-brothe07.jpg	a woman standing next to a woman in a room	a woman stand next to a woman in a room
43739-escape.jpg	a painting of a rock in the water	a painting of a rock in the water
24532-03olona.jpg	a person standing next to a stone wall with a statue of a cow	a person stand next to a stone wall with a statue of a cow
27091-cavalier.jpg	a woman wearing a hat and a hat sitting in a chair	a woman wear a hat and a hat sitting in a chair
30901-onofrio.jpg	a large clock is displayed in a large building	a large clock is displayed in a large building
18360-1511grec.jpg	an image of a man in a black suit	an image of a man in a black suit
31472-1ceiling.jpg	a large building with a large clock on the wall	a large building with a large clock on the wall
07910-christ_g.jpg	a group of people sitting around a pile of stuffed animals	a group of people sit around a pile of stuffed animals
03064-apollo.jpg	a group of people that are sitting on the ground	a group of people that are sit on the ground
36492-coral.jpg	a group of people playing with a dog on a beach	a group of people play with a dog on a beach
44769-st_hugo.jpg	a group of people standing around a table eating food	a group of people stand around a table eating food
21427-camargo1.jpg	a group of people standing in the middle of a forest	a group of people stand in the middle of a forest
24387-viewmarl.jpg	a group of people riding horses down a dirt road	a group of people rid horses down a dirt road
16615-coronati.jpg	a large ornate building with a clock on it	a large ornate building with a clock on it
39967-07early.jpg	a statue of a man sitting on top of a rock	a statue of a man sit on top of a rock
04538-stia_tri.jpg	a picture of a man standing next to a clock	a picture of a man stand next to a clock
07978-farnes23.jpg	a group of statues sitting next to a statue	a group of statues sit next to a statue
10226-1venus01.jpg	an image of a woman with a baby	an image of a woman with a baby
29970-winterla.jpg	a group of people standing around a stone building	a group of people stand around a stone building
06640-stilltul.jpg	a vase filled with flowers on a wooden table	a vase filled with flowers on a wooden table
34137-stjerome.jpg	an old man sitting on a bed holding a book	an old man sit on a bed holding a book
43461-oude5.jpg	a group of people walking on a sidewalk	a group of people walk on a sidewalk
31422-01basle.jpg	a bunch of horses that are in a building	a bunch of horses that are in a building
07854-06mark.jpg	a brown dog standing next to a sign	a brown dog stand next to a sign
06143-mountain.jpg	a picture of a waterfall with a waterfall in the background	a picture of a waterfall with a waterfall in the background
44578-ottobeur.jpg	a fancy clock is displayed on a table	a fancy clock is displayed on a table
31840-ruinrome.jpg	a group of people walking down a street	a group of people walk down a street
11016-410david.jpg	a woman wearing a red shirt and a tie	a woman wear a red shirt and a tie
10416-19melanc.jpg	a man in a black jacket holding a cigarette	a man in a black jacket hold a cigarette
15449-5madonna.jpg	an old picture of a woman in a dress	an old picture of a woman in a dress
10212-2nymph1.jpg	a man laying on top of a bed next to a statue	a man lay on top of a bed next to a statue
32312-10thehol.jpg	a group of people sitting on a bed	a group of people sit on a bed
