img	comment	related text	question	answer
14032-mystic_m.jpg	a group of people sitting on top of horses			
37129-60portra.jpg	a man wearing a red hat with a hat on			
04745-landscap.jpg	a man standing in front of a small house			
36975-a_hunt.jpg	a group of people riding on the backs of horses			
32263-15pansyr.jpg	a group of people that are standing in the grass			
36094-camillu1a.jpg	a painting of a cat laying on a bed			
00661-pieta.jpg	a group of people sitting on a beach			
02870-joseph2.jpg	a group of people standing in front of a building			
13726-rosso.jpg	a clock on a wall in a room			
32168-isabella.jpg	a close up of a person wearing a costume			
18796-lagoon.jpg	a picture of an old building in the water			
02720-rudolf.jpg	a group of people riding horses on a beach			
34266-madonna.jpg	a group of people are playing tennis in a room			
		a group of people are playing tennis in a room	What are a group of people playing in a room?	tennis
		a group of people are playing tennis in a room	What are playing tennis in a room?	a group of people
		a group of people are playing tennis in a room	What are a group of people playing tennis in?	in a room
14039-altarpie.jpg	a large building with a painting on it			
11016-410david.jpg	a woman wearing a red shirt and a tie			
15862-lapiths.jpg	a group of people that are on some elephants			
41386-10colom1.jpg	a group of people standing in front of a building			
15430-latina1.jpg	a painting of a man and a bird on a wall			
40024-brothe07.jpg	a woman standing next to a woman in a room			
28393-stpeter.jpg	a dog laying on its back on a bed			
10438-cainabel.jpg	a man sitting on the floor next to a man			
30484-salviati.jpg	a group of people standing in front of a window			
39654-02trinit.jpg	a group of people sitting on top of a horse			
33297-crepuscu.jpg	a painting of a painting on the side of a cliff			
23421-thomas4.jpg	a painting of a person sitting in a room			
07735-swimming.jpg	a man and a dog are standing in the water			
		a man and a dog are standing in the water	Who are standing in the water?	a man and a dog
		a man and a dog are standing in the water	What are a man and a dog standing in?	in the water
08630-vanitas.jpg	a close up of a cow in a vase			
16403-mary02.jpg	a group of people standing next to each other			
23008-lamentat.jpg	a man and a woman sitting on a couch			
21250-barbier.jpg	a woman in a hat holding a <unk>			
19544-bullhunt.jpg	a large crowd of people standing in front of a large building			
17526-4deposit.jpg	a group of people standing next to each other			
17088-orchar09.jpg	a tree that has some flowers in it			
42223-0209vela.jpg	a man in a black jacket is talking on a cell phone			
		a man in a black jacket is talking on a cell phone	Who is talking on a cell phone?	a man in a black jacket
		a man in a black jacket is talking on a cell phone	What is a man in a black jacket talking on?	on a cell phone
10212-2nymph1.jpg	a man laying on top of a bed next to a statue			
15597-11pala3.jpg	a man with a hat and a hat on			
14180-075game.jpg	a group of people sitting on top of a lush green field			
36102-presenta.jpg	a group of people that are in a room			
40392-5dragon1.jpg	a statue of a horse and a horse on a street			
10416-19melanc.jpg	a man in a black jacket holding a cigarette			
12961-cardinal.jpg	a man in a red jacket is sitting on a blanket			
		a man in a red jacket is sitting on a blanket	Who is sitting on a blanket?	a man in a red jacket
		a man in a red jacket is sitting on a blanket	What is a man in a red jacket sitting on?	on a blanket
06892-armeria.jpg	a painting on the wall of a room			
14155-08music.jpg	a man in a white dress is holding a bag			
		a man in a white dress is holding a bag	What is a man in a white dress holding?	a bag
		a man in a white dress is holding a bag	Who is holding a bag?	a man in a white dress
13921-p_tulp.jpg	a woman in a black dress standing next to a tree			
05369-bouquet.jpg	a vase filled with flowers on a table			
		a vase filled with flowers on a table	What do a vase fill with?	with flowers on a table
		a vase filled with flowers on a table	What filled with flowers on a table?	a vase
31422-01basle.jpg	a bunch of horses that are in a building			
08479-portpope.jpg	a man in a red hat using a laptop			
06749-burgomas.jpg	a woman wearing a hat holding a cell phone			
15449-5madonna.jpg	an old picture of a woman in a dress			
17226-copies18.jpg	a statue of a man standing next to a statue			
40914-06nativi.jpg	an old photo of a woman in a mirror			
14663-13baronc.jpg	an old woman standing in front of a building			
36595-immacula.jpg	a statue of a woman in a white dress			
31943-05visdom.jpg	a group of people sitting on top of a bed			
06308-howard.jpg	a man wearing a leather jacket and a tie			
29407-venusarm.jpg	a group of people sitting on top of a couch			
20092-19hooch.jpg	a group of people sitting around a table			
17006-nuenen21.jpg	a man is sitting on the back of a suitcase			
		a man is sitting on the back of a suitcase	Who is sitting on the back of a suitcase?	a man
		a man is sitting on the back of a suitcase	What is a man sitting on?	on the back of a suitcase
24845-altar.jpg	a painting of a woman in a dress			
09493-portlady.jpg	a young woman wearing a hat and scarf			
21607-mytholo1.jpg	a couple of people standing next to each other			
00096-stilfrui.jpg	a bunch of flowers in a dark room			
09649-01barber.jpg	a painting of a bird on the side of a building			
21910-busch.jpg	a close up of a person with a beard			
36391-4borgo4.jpg	a picture of a woman in a dress			
37521-mystic_m.jpg	a couple of women sitting next to each other			
08955-herring.jpg	a glass vase sitting on top of a table			
18354-1505grec.jpg	a statue of a man standing next to a man			
14652-02baronc.jpg	a large ornate clock in the middle of a building			
39319-2ecce.jpg	a group of people sitting on top of a boat			
03982-bello210.jpg	a man standing on a beach next to a river			
18297-1011grec.jpg	a close up of a person wearing a suit and tie			
24648-grabow5.jpg	a group of people sitting in a room			
20496-johnbapt.jpg	a woman in a dress standing next to a tree			
23839-2manet18.jpg	a couple of women standing next to each other			
22442-river_la.jpg	a group of people on a beach with horses			
10762-portpate.jpg	a woman in a dress is standing next to a tree			
		a woman in a dress is standing next to a tree	Who is standing next to a tree?	a woman in a dress
		a woman in a dress is standing next to a tree	What is a woman in a dress standing next to?	to a tree
39465-05joseph.jpg	an old photo of a woman in a <unk>			
39986-1misc09.jpg	a statue of a man wearing a hat and a hat			
06596-5sense3.jpg	a painting of a man sitting on top of a table			
20048-08adorsh.jpg	a group of people standing around a cow			
14573-erthal.jpg	a picture of a woman in a mirror			
42049-columbus.jpg	a group of people standing next to each other			
43263-landscap.jpg	a couple of people riding horses down a road			
42701-ludovisi.jpg	a group of people standing next to each other			
17962-03fortu2.jpg	a statue of a man holding a piece of paper			
28366-3martket.jpg	a couple of women standing next to each other			
25150-anthony1.jpg	a painting of a woman and an umbrella			
18977-02guilla.jpg	a painting of a vase with flowers in it			
04836-vanitas.jpg	a room filled with lots of different items			
10504-ascoli.jpg	a large building with a painting on it			
09987-cecilia.jpg	a group of people sitting in a room			
06779-pompei.jpg	a group of people sitting around a building			
31430-05portu.jpg	a large display of people in a building			
43461-oude5.jpg	a group of people walking on a sidewalk			
13628-05ferenc.jpg	a man in a suit and tie in a dark room			
33394-15newtet.jpg	a stone building with statues and statues			
32062-cremona1.jpg	a group of people on horses in a museum			
21798-cherries.jpg	a basket filled with lots of fruits and vegetables			
		a basket filled with lots of fruits and vegetables	What filled with lots of fruits and vegetables?	a basket
		a basket filled with lots of fruits and vegetables	What did a basket fill with?	with lots of fruits and vegetables
36004-orator01.jpg	a painting of a painting on a wall			
34068-3renoi16.jpg	a statue of a woman holding a cat			
06226-martelli.jpg	a man in a black hat and a hat			
03064-apollo.jpg	a group of people that are sitting on the ground			
20189-nieuwe1.jpg	a large building with people sitting on it			
18856-ermina.jpg	a group of people that are in the water			
15822-spaniel3.jpg	a brown and white dog and a brown and white dog			
15599-12adorat.jpg	a woman standing next to a man and a child			
03862-138sacr.jpg	a couple of women standing next to each other			
10579-feathers.jpg	a statue of a woman wearing a costume			
26361-writing2.jpg	a woman and a dog in a room			
27056-frederic.jpg	a man with a beard and a black hat			
29970-winterla.jpg	a group of people standing around a stone building			
05057-stillife.jpg	a woman sitting at a table with fruit in it			
35185-portuga1.jpg	a large building with a painting on the wall			
24710-salver.jpg	a painting of a painting of a painting on a wall			
14221-clare6.jpg	a woman standing in front of a building			
19134-31peecke.jpg	a man with a beard and a beard			
42394-cannonsh.jpg	a boat that is floating in the water			
22199-04chess.jpg	a group of people standing next to each other			
21199-deathnio.jpg	a group of people riding on the backs of horses			
42902-2loggia3.jpg	a painting of a man in front of a window with a painting on it			
40298-104turne.jpg	a large rock with a rock in the background			
31894-altar_3s.jpg	a group of people standing around each other			
21024-portrai2.jpg	a black and white photo of a woman in a dress			
