img	comment	related text	question	answer
09618-ganymede.jpg	a dog that is jumping in the air			
34454-10rippl.jpg	a close up of a person wearing a jacket			
		a close up of a person wear a jacket	What wear a jacket?	a close up of a person
		a close up of a person wear a jacket	What do a close up of a person wear?	a jacket
41536-dog_cat.jpg	a group of dogs laying on top of each other			
		a group of dogs lay on top of each other	What lay on top of each other?	a group of dogs
		a group of dogs lay on top of each other	What did a group of dogs lie on?	on top of each other
		a group of dogs lay on top of each other	Where did a group of dogs lie?	on top of each other
34274-venus_ad.jpg	a group of people riding on the backs of horses			
15597-11pala3.jpg	a man with a hat and a hat on			
35185-portuga1.jpg	a large building with a painting on the wall			
08285-virgin_c.jpg	a group of people sitting on a couch			
		a group of people sit on a couch	What do a group of people sit on?	on a couch
		a group of people sit on a couch	What sit on a couch?	a group of people
06611-tobias.jpg	a large group of people standing in front of a river			
		a large group of people stand in front of a river	What do a large group of people stand in?	in front of a river
		a large group of people stand in front of a river	What stand in front of a river?	a large group of people
35497-282mytho.jpg	a group of men standing next to each other			
		a group of men stand next to each other	What stand next to each other?	a group of men
		a group of men stand next to each other	What do a group of men stand next to?	to each other
00661-pieta.jpg	a group of people sitting on a beach			
		a group of people sit on a beach	What sit on a beach?	a group of people
		a group of people sit on a beach	What do a group of people sit on?	on a beach
26550-1chapel2.jpg	a large building with a lot of windows on it			
03611-72rebel2.jpg	a group of people standing next to a stone wall			
		a group of people stand next to a stone wall	What stand next to a stone wall?	a group of people
		a group of people stand next to a stone wall	What do a group of people stand next to?	to a stone wall
25154-passion1.jpg	a painting of a man sitting on top of a bed			
		a painting of a man sit on top of a bed	What sit on top of a bed?	a painting of a man
		a painting of a man sit on top of a bed	What do a painting of a man sit on?	on top of a bed
		a painting of a man sit on top of a bed	Where do a painting of a man sit?	on top of a bed
10579-feathers.jpg	a statue of a woman wearing a costume			
		a statue of a woman wear a costume	What do a statue of a woman wear?	a costume
		a statue of a woman wear a costume	What wear a costume?	a statue of a woman
42809-3baptist.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
37099-predell4.jpg	a group of people standing next to each other			
		a group of people stand next to each other	What stand next to each other?	a group of people
		a group of people stand next to each other	What do a group of people stand next to?	to each other
32138-husherd.jpg	a herd of cattle standing on top of a grass covered field			
		a herd of cattle stand on top of a grass covered field	What do a herd of cattle stand on?	on top of a grass covered field
		a herd of cattle stand on top of a grass covered field	Where do a herd of cattle stand?	on top of a grass covered field
		a herd of cattle stand on top of a grass covered field	What stand on top of a grass covered field?	a herd of cattle
40024-brothe07.jpg	a woman standing next to a woman in a room			
		a woman stand next to a woman in a room	Who stand next to a woman in a room?	a woman
		a woman stand next to a woman in a room	Who do a woman stand next to?	to a woman in a room
43739-escape.jpg	a painting of a rock in the water			
24532-03olona.jpg	a person standing next to a stone wall with a statue of a cow			
